idx	label
58	sars
392	sars
435	sars
465	sars
587	sars
734	sars
780	sars
833	sars
845	sars
990	sars
1272	sars
1352	sars
1353	sars
1424	sars
1468	sars
1503	sars
1506	sars
1508	sars
1520	sars
1526	sars
1528	sars
1529	sars
1533	sars
1534	sars
1543	sars
1544	sars
1546	sars
1552	sars
1582	sars
1891	sars
2080	sars
2107	sars
2123	sars
2124	sars
2186	sars
2241	sars
2248	sars
2254	sars
2319	sars
2371	sars
2387	sars
2415	sars
2433	sars
2439	sars
2521	sars
2529	sars
2567	sars
2614	sars
2632	sars
2865	sars
3016	sars
3032	sars
3047	sars
3056	sars
3064	sars
3065	sars
3070	sars
3074	sars
3075	sars
3077	sars
3080	sars
3081	sars
3097	sars
3098	sars
3109	sars
3134	sars
3142	sars
3158	sars
3159	sars
3166	sars
3175	sars
3177	sars
3187	sars
3189	sars
3194	sars
3195	sars
3198	sars
3205	sars
3206	sars
3207	sars
3211	sars
3217	sars
3220	sars
3226	sars
3238	sars
3240	sars
3242	sars
3247	sars
3249	sars
3250	sars
3253	sars
3255	sars
3260	sars
3261	sars
3264	sars
3288	sars
3298	sars
3301	sars
3315	sars
3318	sars
3333	sars
3336	sars
3350	sars
3384	sars
3385	sars
3386	sars
3387	sars
3398	sars
3401	sars
3402	sars
3408	sars
3413	sars
3419	sars
3422	sars
3424	sars
3430	sars
3436	sars
3441	sars
3442	sars
3445	sars
3449	sars
3452	sars
3455	sars
3461	sars
3470	sars
3496	sars
3510	sars
3515	sars
3518	sars
3524	sars
3530	sars
3535	sars
3547	sars
3549	sars
3552	sars
3557	sars
3565	sars
3568	sars
3579	sars
3583	sars
3597	sars
3599	sars
3602	sars
3604	sars
3606	sars
3608	sars
3609	sars
3615	sars
3617	sars
3623	sars
3624	sars
3630	sars
3631	sars
3639	sars
3642	sars
3646	sars
3648	sars
3655	sars
3659	sars
3662	sars
3668	sars
3671	sars
3672	sars
3677	sars
3694	sars
3695	sars
3697	sars
3699	sars
3713	sars
3727	sars
3740	sars
3745	sars
3772	sars
3777	sars
3783	sars
3808	sars
3809	sars
3811	sars
3813	sars
3824	sars
3838	sars
3850	sars
3853	sars
3862	sars
3863	sars
3865	sars
3870	sars
3901	sars
3909	sars
3914	sars
3929	sars
3932	sars
3936	sars
3940	sars
3945	sars
3946	sars
3954	sars
3961	sars
3985	sars
3998	sars
0	mers
1	mers
2	mers
4	mers
5	mers
7	mers
8	mers
9	mers
12	mers
13	mers
14	mers
15	mers
16	mers
19	mers
20	mers
21	mers
22	mers
23	mers
25	mers
26	mers
29	mers
32	mers
33	mers
34	mers
38	mers
39	mers
41	mers
42	mers
43	mers
44	mers
45	mers
46	mers
47	mers
48	mers
49	mers
50	mers
54	mers
56	mers
57	mers
58	mers
59	mers
60	mers
61	mers
62	mers
63	mers
65	mers
66	mers
67	mers
68	mers
69	mers
70	mers
71	mers
72	mers
73	mers
74	mers
75	mers
76	mers
77	mers
79	mers
80	mers
81	mers
82	mers
83	mers
84	mers
85	mers
86	mers
87	mers
88	mers
89	mers
90	mers
91	mers
92	mers
93	mers
94	mers
97	mers
98	mers
99	mers
100	mers
102	mers
103	mers
104	mers
105	mers
107	mers
108	mers
109	mers
111	mers
112	mers
113	mers
114	mers
115	mers
116	mers
117	mers
118	mers
119	mers
120	mers
121	mers
122	mers
124	mers
125	mers
126	mers
127	mers
128	mers
129	mers
130	mers
131	mers
132	mers
134	mers
135	mers
136	mers
137	mers
138	mers
139	mers
140	mers
141	mers
142	mers
144	mers
145	mers
147	mers
148	mers
149	mers
150	mers
151	mers
152	mers
153	mers
154	mers
155	mers
156	mers
158	mers
159	mers
160	mers
162	mers
163	mers
164	mers
165	mers
166	mers
168	mers
169	mers
170	mers
171	mers
174	mers
175	mers
176	mers
177	mers
179	mers
180	mers
183	mers
185	mers
186	mers
188	mers
189	mers
190	mers
191	mers
192	mers
193	mers
194	mers
195	mers
196	mers
198	mers
199	mers
200	mers
201	mers
210	mers
216	mers
217	mers
218	mers
219	mers
221	mers
222	mers
223	mers
224	mers
225	mers
227	mers
228	mers
229	mers
230	mers
231	mers
232	mers
233	mers
234	mers
235	mers
236	mers
237	mers
238	mers
239	mers
240	mers
241	mers
242	mers
243	mers
244	mers
245	mers
246	mers
248	mers
249	mers
250	mers
251	mers
252	mers
253	mers
254	mers
256	mers
257	mers
4	influenza
34	influenza
46	influenza
56	influenza
63	influenza
75	influenza
82	influenza
111	influenza
116	influenza
141	influenza
154	influenza
179	influenza
195	influenza
206	influenza
241	influenza
243	influenza
268	influenza
276	influenza
340	influenza
343	influenza
391	influenza
392	influenza
418	influenza
433	influenza
449	influenza
465	influenza
477	influenza
492	influenza
493	influenza
501	influenza
545	influenza
600	influenza
604	influenza
605	influenza
617	influenza
618	influenza
626	influenza
656	influenza
684	influenza
732	influenza
752	influenza
756	influenza
801	influenza
839	influenza
881	influenza
894	influenza
896	influenza
985	influenza
987	influenza
990	influenza
